Date,Open,High,Low,Close,Adj Close,Volume
21-Dec-17,2683.02,2692.64,2682.4,2684.57,2684.57,3273390000
22-Dec-17,2684.22,2685.35,2678.13,2683.34,2683.34,2399830000
26-Dec-17,2679.09,2682.74,2677.96,2680.5,2680.5,1968780000
27-Dec-17,2682.1,2685.64,2678.91,2682.62,2682.62,2202080000
28-Dec-17,2686.1,2687.66,2682.69,2687.54,2687.54,2153330000
29-Dec-17,2689.15,2692.12,2673.61,2673.61,2673.61,2443490000
2-Jan-18,2683.73,2695.89,2682.36,2695.81,2695.81,3357250000
3-Jan-18,2697.85,2714.37,2697.77,2713.06,2713.06,3538660000
4-Jan-18,2719.31,2729.29,2719.07,2723.99,2723.99,3695260000
5-Jan-18,2731.33,2743.45,2727.92,2743.15,2743.15,3236620000
8-Jan-18,2742.67,2747.92,2737.6,2746.88,2746.88,1176784827
